Comment,Author
四輪大爺撞死學生又如何 還不是只會禁行機車,cities516
大概撞死人後連腳踏車跟行人都會被禁行,cities516
連cosplayer執勤摩托車都會超速了 笑死,cities516
學校該開發輸送帶系統了吧,FuruyaRei
或者水源路&lt;&gt;基隆路&lt;&gt;辛亥路&lt;&gt;徐州路的地下隧道系統,cuteSquirrel
原PO你有發現你貼的要點裡面沒有寫處罰嗎,tom282f3
禁行機車是德政吧,wiston1419
如果開放機車才可怕吧,kainourgios
腳踏車亂鑽鬼切撞不死人啊 你想試試機車嗎= =,dosoleil
那汽車呢？,rainjuly
開放機車才可怕吧 校園空氣更髒而且一堆低能兒會改,honeypeanut
車又吵,honeypeanut
汽車會淨化空氣嗎 汽車不能改車嗎,rainjuly
汽油車可接受 但柴油車真的是該開去填海,dosoleil
校內遇過的汽車 營業用車都還算滿和善的 至少我20騎椰林,dosoleil
道中間都沒被逼車 反倒是常要閃在雙黃線逆向轉彎的車(一,dosoleil
方面也是汽車卡在腳踏車陣中 除了暴衝根本沒法突圍 啊機,dosoleil
車生存法理不就如同高速單車...,dosoleil
數量級不同 教職員生的機車&gt;&gt;&gt;汽車 歸根結底是管理問,wiston1419
題,wiston1419
連腳踏車都騎不好還敢校想騎機車 根本顆顆,gruenherz
要減少汽車排放就是駕駛人付錢請同學推車阿,gruenherz
學校安全 同學有錢,gruenherz
連推車錢都付不起的車主就甭來了 台大你進不起,gruenherz
如果是為了校員和諧不敢開放檢舉 那就真的是管理問題,gruenherz
拿機車駕照的人腳踏車騎得好的機率比汽車駕照高吧 機車,rainjuly
的操控方式跟腳踏車比較像,rainjuly
簡單來說 你要管理1000輛機車跟100輛汽車就不是同尺,wiston1419
度的問題 不能只看單一個駕駛的行為 你當然可以主張,wiston1419
機車進校園啦 但學校禁我覺得很合理,wiston1419
其實只有你起哄的聲量夠大 讓禁機車政策變成校方的管,wiston1419
理問題 校方就會有動作 參見草坪事件,wiston1419
或你找足夠的人 去吵汽車應該禁 讓開放汽車變校方管理,wiston1419
問題 學校也會有更多動作ㄉ,wiston1419
*只要,wiston1419
車輛進入校園的數量一直都是學校在控制的 根本不會有全,rainjuly
部的人都騎機車進校園的情況 就像停學校停車場的汽車也,rainjuly
沒有全部都停總區平面,rainjuly
so 誰能進校園不就是一層管理問題了嗎 我舉一千也不是,wiston1419
全校三萬學生的擁機車量,wiston1419
那麼管理一台機車成本比較低還是管理一台汽車,rainjuly
機車比較低啊 但成本不是線性增長的 這是總數問題 如,wiston1419
果我們用C n取2來粗估車輛碰撞率的話 總數n輛車的管理,wiston1419
成本是n平方成長 非線性,wiston1419
機車進校園這個議題 每年都有人在講 我是覺得就算開,wiston1419
放你也不可能把車停在系館前去上課 因為目前光腳踏車,wiston1419
都有停車問題了,wiston1419
如果學校沒有要減少車輛總數 部分汽車由機車取代至少對,rainjuly
校園的衝擊還比較小,rainjuly
我沒有說要騎機車去系館啊 只是覺得在對校園負面影響的,rainjuly
考量下 禁機車不禁汽車是很弔詭的事,rainjuly
因為就現狀看來 遇到停車位不足的應對 不是在體制內外申,dosoleil
訴增設車位 可能是改成步行或ubike 但也多的是違停亂停,dosoleil
況且”無車校園”早就是學校的政策目標 但學校在可以完,rainjuly
卡別人車擋別人路 幫交流版增加娛樂話題,dosoleil
全禁止機車的情況下不敢動汽車 就是差別待遇,rainjuly
不覺得弔詭ㄝ 就機車不是個選項啊 你讓他進校園也無法,wiston1419
滿足使用者需求 徒增管理成本而已,wiston1419
無車校園也是要有配套呀 來洽公上班演講的 總要給他校內,dosoleil
交通工具吧 雖然現在有ubike 了 但行動不便的呢 要不要,dosoleil
做校內接駁車 還有根本上無法限制的貨車工程車,dosoleil
維持總數挖一半數量給機車 你覺得台大學生就會滿意嗎,wiston1419
幾萬人爭幾十個名額 然後還可能停不到系館,wiston1419
然後若是開放機車 那可能平面機車場也會恢復收費 不一定,dosoleil
對現有騎士有利吧,dosoleil
我覺得啦 應該考慮校園內電動滑板車做機動工具比較實際,gruenherz
依照貴笑生使用兩輪車的素質 依樣都能產生傷害的 何不,gruenherz
選個質量比較小的物件 總衝擊值也比較小 也比較容易把,gruenherz
其他同學的滑板車從停車格扔到被拖吊位置 機車那麼重,gruenherz
對力氣比較小的人不公平 這是力量歧視,gruenherz
那汽車限制數量學生有因為搶不到不滿意嗎？要開車來學校,rainjuly
又不是只有停總區平面這個選擇,rainjuly
問題是現在大部分的車都不是為了行動不便的人啊 起嗎可,rainjuly
以砍掉這些佔據多數的非必要私人用車吧 現在就是隨便什,rainjuly
麼人都可以開車進學校,rainjuly
要知道總區平面的停車費是地下停車場的1.5倍 一般人要開,rainjuly
車上學也是停地下停車場而已,rainjuly
所以學生能不能開車到教室前面一直都不是汽車能否進校園,rainjuly
的重要控制因素 那學生能不能騎機車到教室為什麼會是開,rainjuly
放機車的問題點,rainjuly
禁電動自行車更明顯看得出來學校給汽車的特權,rainjuly
理論上通過檢測的電動自行車最快只能騎到25km/h 但學校,rainjuly
還是覺得時速可以破百的汽車比電動自行車值得進校園,rainjuly
你們學校沒有禁電腳車吧 之前訪問時期就常看到,gruenherz
還有那些私人用車的車主對學校可能比學生有價值的多,gruenherz
增加自己對學校的利用價值自然有爽車位可停,gruenherz
https://i.imgur.com/rFNCINA.jpg,rainjuly
你看到的是身心障礙者的車吧 只有他們可以騎,rainjuly
沒 一般人上學應該是辦車證停共教或地震 運氣差才是水源,dosoleil
或操場辛亥 你都知道進總區有價差 不就說明學校有意引導,dosoleil
非必需車輛避行校內嗎(雖然非必需的觀光客也會開進來 但,dosoleil
如果都能放行計程車了 不覺得私家車有禁入必要) 然後校,dosoleil
內多的是電自(通常出沒於幼稚園及銘傳公館放學時) 電動,dosoleil
滑板(有人喜歡在月夜椰林迎風奔馳) 有時連外送都沒能擋,dosoleil
住了 怎能期待電自能完全杜絕,dosoleil
你可到圖書館到餐廳那塊停車場揪出電腳 順便看車主是否,gruenherz
腐合你貼的那個條款,gruenherz
建議你校用電滑車當通用校內工具不是沒有原因的,gruenherz
你要以用路人素質去挑選最小損害工具,gruenherz
今天沒課，大部分的課遠距都屌打實體,mayolane
不過線上考試很雞巴,mayolane
0 通勤的時間遠比教授錄影偷的時間長很多==,YukinoWin
除了考試外實體真的0,oToToT
不想,Xperia
不想，本肥宅需要零社交。要跟同學說話太多了。,daye87
不想：(,maozz
體驗2倍速看課程後真心懷疑有多少人想上實體,k04121226
厚宅開了喔,cccwnrccc
厚宅至晚昨天已經，中午晚上人都很多,jsstarlight
*已開,jsstarlight
通勤很費時間，但有些課若不實體，討論效果很差,jsstarlight
一堂QQ,ann141414
遠距&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;實體,jack21915
不要 實體人那麼多 有夠危險,unmolk
不想,kantantantan
比較喜歡遠距上課+實體討論&amp;考試,Inglenook
去你媽的口罩,jasonking3c
幹WEBEX有夠耗電，我筆電沒帶充電器直接掛機,rothanlin
要馬全部實體，要馬全部遠距，好不方便,rothanlin
沒錯... 還要找地方遠距 有夠麻煩,sharkbig
上課?這麼菜...zzz...,mark0204
遠距要找地方上麻煩 研究所的課沒見面討論很沒feel XD,NTUGinger
去學校只是為了社交跟交朋友 上課吸收其實遠距就夠,john668
現在天氣又熱又潮濕，好想躺在床上一整天喔,DH0617
學校是朋友見面用的 不是上課的,EEzionT
不想,ejsucocky
那請問對於沒朋友的可悲仔如我而言 學校是幹嘛用的QQ,tonyflu
不用通勤潮爽der,xx182731
還行 有些需要討論的課實體比較適合,manchenlee
如果是我會想實體欸，老師上傳的東西有夠多，都快沒,dante110059
時間弄實驗啦,dante110059
只有我跟少數幾個人偏好實體上課QQ,jzoethai
回東流 務實來說學校就是拿張文憑的地方 醬有回答到你ㄇ,jzoethai
實體上課很u啊,prmotolprlin
繳學費有很大一部分是給你用硬體設備的 冷氣 空間等,kenness1019
等 爲啥不要實體,kenness1019
遠距比較好 實體的只要開放實驗室跟休閒運動設施,pttnowash
跟各種有專業設備的教室即可 然後學費少收,pttnowash
可是 下雨欸,rry1234
學校本來就是拿來交朋友的～,micbrimac
冷氣 網路錢可以不要收啊,FuruyaRei
通勤超冗,FuruyaRei
好像跟這串逆風 但是我想欸 非同步我整個變超怠惰,gincod
超不想,YSae9
因為不是每一堂都實體，到時候你還要在學校找陰涼處上,xBox1Pro
遠距,xBox1Pro
冷氣、網路費不要收啊,kevin600339
不想,a5817439
完全不想實體QQ 尤其是下雨天,ToTo0306
不想 要穿著衣服出門好麻煩,AChing8130
錄影＋直播上課時間雙倍了啦外加分組討論根本超地獄,AprilMight
還有U咪那個可撥軟體...,AprilMight
希望學校退我冷氣錢QAQ,tonyflu
評選實體上的比線上好的老師，可以實體。,MB32ptt
0 遠距根本舒服到不行 影片可以一直重看 然後不用死人,Alex548291
溫度+下雨騎車到教室,Alex548291
此刻我深深的體會到 社會是現實的 是看,obCHU724ov
奶,CK0663
怎麼沒有正妹重修文,EEzionT
教授也曾經是學生 互相體諒 ok der,cuteSquirrel
正妹考試的是另外一位同學PO的，可能要等他來,cuteSquirrel
電磁學真是個玄學,taipoo
今天發現昨天的妹子是B08的，樓主認識嗎？,lenp7788999
三電裡面最玄的+1,cuteSquirrel
faq 看了嗎?,macauboy
https://homepage.ntu.edu.tw/~ntut019/cwfaq/cw-faq.pd,macauboy
已站內,j2c3
幫縮網 https://bit.ly/3nLcSfo (cwtex faq),graduEcon
faq寫的很詳細，有如撰寫者親授的feel,graduEcon
你同學應該都會吧......,KH21
直接寫信給老師問？,ccdg
我就想說我前天去還開得好好的,Imotucc
關了我就不知道去哪買比特斃了,Imotucc
還有長興,yongxchen
還有臺大醫院微風也有全家,dosoleil
男一（還是男幾？）也有,reunique
男舍我家廚房那邊,tom282f3
這篇寫的每一個高中英文老師都會說吧,mayolane
廣告YouTube頻道母湯,CK0663
學習英文是一種天分，像我沒這種天分，我就真的學不會,GarySu1104
樓上錢奴開分身發言 已向板主檢舉,celtics1997
